#,null,jugador,posicion,edad,null,null,valor
1,,Jude Bellingham,Mediocentro ofensivo,20,,,"180,00 mill. €"
2,,Erling Haaland,Delantero centro,23,,,"180,00 mill. €"
3,,Kylian Mbappé,Delantero centro,25,,,"180,00 mill. €"
4,,Bukayo Saka,Extremo derecho,22,,,"120,00 mill. €"
5,,Jamal Musiala,Mediocentro ofensivo,20,,,"110,00 mill. €"
6,,Phil Foden,Extremo derecho,23,,,"110,00 mill. €"
7,,Declan Rice,Pivote,25,,,"110,00 mill. €"
8,,Rodri,Pivote,27,,,"110,00 mill. €"
9,,Harry Kane,Delantero centro,30,,,"110,00 mill. €"
10,,Florian Wirtz,Mediocentro ofensivo,20,,,"100,00 mill. €"
11,,Pedri,Mediocentro,21,,,"90,00 mill. €"
12,,Gavi,Mediocentro,19,,,"90,00 mill. €"
13,,Eduardo Camavinga,Mediocentro,21,,,"90,00 mill. €"
14,,Aurélien Tchouaméni,Pivote,24,,,"90,00 mill. €"
15,,Rafael Leão,Extremo izquierdo,24,,,"90,00 mill. €"
16,,Martin Ødegaard,Mediocentro ofensivo,25,,,"90,00 mill. €"
17,,Khvicha Kvaratskhelia,Extremo izquierdo,23,,,"80,00 mill. €"
18,,Josko Gvardiol,Defensa central,22,,,"80,00 mill. €"
19,,Frenkie de Jong,Mediocentro,26,,,"80,00 mill. €"
20,,Rúben Dias,Defensa central,26,,,"80,00 mill. €"
21,,Bernardo Silva,Mediocentro ofensivo,29,,,"80,00 mill. €"
22,,Leroy Sané,Extremo derecho,28,,,"80,00 mill. €"
23,,William Saliba,Defensa central,22,,,"75,00 mill. €"
24,,Dominik Szoboszlai,Mediocentro,23,,,"75,00 mill. €"
25,,Christopher Nkunku,Mediocentro ofensivo,26,,,"75,00 mill. €"
#,null,jugador,posicion,edad,null,null,valor
1,Jude BellinghamMediocentro ofensivo,,Jude Bellingham,Mediocentro ofensivo,20,,,"180,00 mill. €"
2,Erling HaalandDelantero centro,,Erling Haaland,Delantero centro,23,,,"180,00 mill. €"
3,Kylian MbappéDelantero centro,,Kylian Mbappé,Delantero centro,25,,,"180,00 mill. €"
4,Bukayo SakaExtremo derecho,,Bukayo Saka,Extremo derecho,22,,,"120,00 mill. €"
5,Jamal MusialaMediocentro ofensivo,,Jamal Musiala,Mediocentro ofensivo,20,,,"110,00 mill. €"
6,Phil FodenExtremo derecho,,Phil Foden,Extremo derecho,23,,,"110,00 mill. €"
7,Declan RicePivote,,Declan Rice,Pivote,25,,,"110,00 mill. €"
8,RodriPivote,,Rodri,Pivote,27,,,"110,00 mill. €"
9,Harry KaneDelantero centro,,Harry Kane,Delantero centro,30,,,"110,00 mill. €"
10,Florian WirtzMediocentro ofensivo,,Florian Wirtz,Mediocentro ofensivo,20,,,"100,00 mill. €"
11,PedriMediocentro,,Pedri,Mediocentro,21,,,"90,00 mill. €"
12,GaviMediocentro,,Gavi,Mediocentro,19,,,"90,00 mill. €"
13,Eduardo CamavingaMediocentro,,Eduardo Camavinga,Mediocentro,21,,,"90,00 mill. €"
14,Aurélien TchouaméniPivote,,Aurélien Tchouaméni,Pivote,24,,,"90,00 mill. €"
15,Rafael LeãoExtremo izquierdo,,Rafael Leão,Extremo izquierdo,24,,,"90,00 mill. €"
16,Martin ØdegaardMediocentro ofensivo,,Martin Ødegaard,Mediocentro ofensivo,25,,,"90,00 mill. €"
17,Khvicha KvaratskheliaExtremo izquierdo,,Khvicha Kvaratskhelia,Extremo izquierdo,23,,,"80,00 mill. €"
18,Josko GvardiolDefensa central,,Josko Gvardiol,Defensa central,22,,,"80,00 mill. €"
19,Frenkie de JongMediocentro,,Frenkie de Jong,Mediocentro,26,,,"80,00 mill. €"
20,Rúben DiasDefensa central,,Rúben Dias,Defensa central,26,,,"80,00 mill. €"
21,Bernardo SilvaMediocentro ofensivo,,Bernardo Silva,Mediocentro ofensivo,29,,,"80,00 mill. €"
22,Leroy SanéExtremo derecho,,Leroy Sané,Extremo derecho,28,,,"80,00 mill. €"
23,William SalibaDefensa central,,William Saliba,Defensa central,22,,,"75,00 mill. €"
24,Dominik SzoboszlaiMediocentro,,Dominik Szoboszlai,Mediocentro,23,,,"75,00 mill. €"
25,Christopher NkunkuMediocentro ofensivo,,Christopher Nkunku,Mediocentro ofensivo,26,,,"75,00 mill. €"
